Lough,RepresentativeMonitoringPoints,ShellfishSpecies,DateOfSampling ,DSP-OA+PTX160micrograms/kilograms,DSP-AZA160micrograms/kilograms,DSP-YTX3.75milligram/kilogram,PSP80micrograms/100grams,ASP20micrograms/grams,CurrentStatus,Comments
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-01-06,NEG,NEG,NEG,NEG,<0.3,OPEN,Sample delayed due to strong NE winds
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-02-01,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-02-11,NEG,NEG,NEG,NT,NT,OPEN,Sample delayed due to strong winds 
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-02-15,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-02-22,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-03-01,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-03-15,NEG,NEG,NEG,NT,NT,OPEN,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-03-30,NEG,NEG,NEG,NT,NT,OPEN,Sample delayed due to windy conditions
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-04-12,NEG,NEG,NEG,NEG,<0.3,OPEN,
Belfast,"RMP1 - B1 - AFFNI55 - represents B2 AFFNI51, B4 AFFNI15, B5 AFFNI96, B9 AFFNI 85",Mussels,2021-04-26,NEG,NEG,NEG,NT,NT,OPEN,
